Taskset,Algorithm,Number of Tasks,Utilization,Schedulable
tasksets/80-percent/4-tasks/taskset-218,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-219,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-219,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-219,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-22,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-22,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-22,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-220,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-220,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-220,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-221,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-221,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-221,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-222,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-222,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-222,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-223,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-223,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-223,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-224,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-224,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-224,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-225,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-225,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-225,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-226,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-226,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-226,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-227,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-227,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-227,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-228,dm,4,80%,1
