Taskset,Algorithm,Number of Tasks,Utilization,Schedulable
tasksets/10-tasks/80-percent/taskset-443,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-443,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-443,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-444,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-444,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-444,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-445,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-445,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-445,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-446,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-446,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-446,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-447,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-447,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-447,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-448,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-448,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-448,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-449,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-449,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-449,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-45,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-45,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-45,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-450,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-450,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-450,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-451,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-451,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-451,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-452,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-452,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-452,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-453,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-453,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-453,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-454,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-454,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-454,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-455,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-455,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-455,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-456,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-456,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-456,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-457,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-457,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-457,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-458,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-458,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-458,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-459,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-459,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-459,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-46,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-46,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-46,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-460,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-460,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-460,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-461,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-461,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-461,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-462,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-462,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-462,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-463,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-463,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-463,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-464,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-464,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-464,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-465,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-465,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-465,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-466,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-466,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-466,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-467,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-467,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-467,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-468,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-468,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-468,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-469,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-469,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-469,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-47,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-47,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-47,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-470,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-470,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-470,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-471,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-471,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-471,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-472,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-472,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-472,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-473,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-473,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-473,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-474,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-474,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-474,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-475,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-475,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-475,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-476,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-476,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-476,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-477,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-477,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-477,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-478,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-478,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-478,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-479,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-479,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-479,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-48,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-48,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-48,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-480,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-480,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-480,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-481,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-481,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-481,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-482,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-482,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-482,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-483,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-483,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-483,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-484,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-484,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-484,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-485,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-485,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-485,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-486,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-486,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-486,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-487,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-487,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-487,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-488,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-488,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-488,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-489,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-489,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-489,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-49,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-49,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-49,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-490,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-490,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-490,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-491,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-491,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-491,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-492,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-492,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-492,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-493,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-493,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-493,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-494,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-494,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-494,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-495,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-495,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-495,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-496,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-496,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-496,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-497,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-497,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-497,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-498,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-498,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-498,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-499,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-499,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-499,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-5,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-5,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-5,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-50,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-50,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-50,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-51,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-51,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-51,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-52,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-52,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-52,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-53,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-53,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-53,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-54,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-54,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-54,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-55,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-55,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-55,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-56,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-56,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-56,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-57,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-57,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-57,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-58,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-58,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-58,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-59,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-59,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-59,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-6,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-6,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-6,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-60,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-60,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-60,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-61,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-61,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-61,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-62,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-62,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-62,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-63,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-63,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-63,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-64,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-64,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-64,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-65,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-65,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-65,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-66,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-66,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-66,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-67,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-67,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-67,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-68,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-68,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-68,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-69,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-69,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-69,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-7,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-7,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-7,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-70,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-70,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-70,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-71,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-71,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-71,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-72,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-72,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-72,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-73,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-73,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-73,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-74,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-74,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-74,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-75,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-75,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-75,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-76,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-76,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-76,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-77,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-77,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-77,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-78,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-78,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-78,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-79,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-79,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-79,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-8,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-8,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-8,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-80,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-80,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-80,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-81,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-81,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-81,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-82,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-82,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-82,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-83,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-83,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-83,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-84,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-84,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-84,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-85,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-85,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-85,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-86,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-86,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-86,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-87,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-87,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-87,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-88,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-88,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-88,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-89,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-89,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-89,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-9,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-9,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-9,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-90,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-90,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-90,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-91,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-91,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-91,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-92,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-92,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-92,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-93,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-93,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-93,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-94,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-94,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-94,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-95,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-95,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-95,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-96,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-96,edf,10,80,2
tasksets/10-tasks/80-percent/taskset-96,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-97,dm,10,80,3
tasksets/10-tasks/80-percent/taskset-97,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-97,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-98,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-98,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-98,rr,10,80,2
tasksets/10-tasks/80-percent/taskset-99,dm,10,80,1
tasksets/10-tasks/80-percent/taskset-99,edf,10,80,0
tasksets/10-tasks/80-percent/taskset-99,rr,10,80,2
tasksets/10-tasks/90-percent/taskset-0,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-0,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-0,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-1,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-1,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-1,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-10,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-10,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-10,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-100,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-100,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-100,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-101,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-101,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-101,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-102,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-102,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-102,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-103,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-103,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-103,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-104,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-104,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-104,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-105,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-105,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-105,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-106,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-106,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-106,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-107,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-107,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-107,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-108,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-108,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-108,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-109,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-109,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-109,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-11,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-11,edf,10,90,0
tasksets/10-tasks/90-percent/taskset-11,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-110,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-110,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-110,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-111,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-111,edf,10,90,0
tasksets/10-tasks/90-percent/taskset-111,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-112,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-112,edf,10,90,0
tasksets/10-tasks/90-percent/taskset-112,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-113,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-113,edf,10,90,0
tasksets/10-tasks/90-percent/taskset-113,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-114,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-114,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-114,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-115,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-115,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-115,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-116,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-116,edf,10,90,0
tasksets/10-tasks/90-percent/taskset-116,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-117,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-117,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-117,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-118,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-118,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-118,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-119,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-119,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-119,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-12,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-12,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-12,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-120,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-120,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-120,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-121,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-121,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-121,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-122,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-122,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-122,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-123,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-123,edf,10,90,0
tasksets/10-tasks/90-percent/taskset-123,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-124,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-124,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-124,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-125,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-125,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-125,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-126,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-126,edf,10,90,2
tasksets/10-tasks/90-percent/taskset-126,rr,10,90,2
tasksets/10-tasks/90-percent/taskset-127,dm,10,90,3
tasksets/10-tasks/90-percent/taskset-127,edf,10,90,0
tasksets/10-tasks/90-percent/taskset-127,rr,10,90,2
